Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

152.37599548	0.00000000	0.00708029	-0.00476089	0.15936770
152.38399548	-0.00213630	0.00146489	-0.00531022	0.16083250
152.39199548	0.00085452	0.01422163	-0.00738548	0.15405740
152.39999548	-0.00567644	0.00500504	-0.00885037	0.16705830
152.40799548	0.00085452	0.00531022	-0.00476089	0.16290780
152.41599548	-0.00421155	0.00531022	-0.00030519	0.16321300
152.42399548	0.00085452	0.00799585	-0.00091556	0.15643790
152.43199548	-0.00152593	0.00946074	-0.00415052	0.16498310
152.43999548	-0.00653096	0.01745659	-0.00061037	0.16113770
152.44799548	-0.00238044	0.00292978	0.00024415	0.16205330
152.45599548	-0.00030519	0.00885037	-0.00177007	0.15582750
152.46399547	-0.00030519	0.00622578	-0.00061037	0.16113770
152.47199547	0.00000000	0.01123081	-0.00329600	0.15936770
152.47999547	0.00000000	0.00738548	-0.00177007	0.15344710
152.48799547	0.00384533	0.01092563	-0.00622578	0.15344710
152.49599547	-0.00268563	0.00469985	-0.00445570	0.15851310
152.50399547	-0.00476089	0.01690725	-0.00354015	0.16174810
152.51199547	0.00177007	0.00323496	-0.00122074	0.15460680
152.51999547	-0.00360118	0.01300089	-0.00177007	0.15967280
152.52799547	0.00354015	0.01184118	-0.00860622	0.16144290
152.53599547	0.00024415	0.00622578	-0.00354015	0.15820800
152.54399547	0.00292978	0.01300089	0.00262459	0.16058840
152.55199547	0.00054933	0.01007111	-0.00207526	0.15552230
152.55999547	0.00177007	0.01361126	0.00439467	0.15729240
152.56799547	0.00177007	0.01599170	-0.00683615	0.15491200
152.57599547	-0.00445570	0.00500504	0.00115970	0.15613270
152.58399547	-0.00183111	0.00769066	-0.00299081	0.15997800
152.59199547	0.00085452	0.00854518	-0.00384533	0.14813680
152.59999547	-0.00213630	0.00769066	-0.00708029	0.15283670
152.60799547	0.00622578	0.00439467	-0.00384533	0.15552230
152.61599547	0.00000000	0.00915555	0.00170904	0.15790280
152.62399547	0.00207526	0.00799585	-0.00531022	0.15851310
152.63199547	-0.00329600	0.00885037	0.00146489	0.15643790
152.63999547	0.00415052	0.01037629	-0.00445570	0.15436260
152.64799547	-0.00683615	0.00854518	-0.00207526	0.15613270
152.65599547	0.00024415	0.01422163	-0.00506607	0.15790280
152.66399547	-0.00152593	0.01422163	-0.00207526	0.15668200
152.67199547	-0.00122074	0.01123081	-0.00592059	0.15729240
152.67999547	-0.00183111	0.00738548	-0.00329600	0.15729240
152.68799547	-0.00183111	0.00830104	-0.00653096	0.15698720
152.69599547	-0.00122074	0.00146489	-0.00946074	0.15997800
152.70399547	0.00415052	0.00976592	-0.00561541	0.16174810
152.71199547	0.00384533	0.01123081	0.00347911	0.15283670
152.71999547	-0.00061037	0.01330607	-0.00531022	0.15106660
152.72799547	0.00531022	0.00677511	-0.00207526	0.15759760
152.73599547	0.00677511	0.00885037	-0.00238044	0.16382340
152.74399547	0.00000000	0.01452681	-0.00561541	0.15582750
152.75199547	-0.00598163	0.00708029	-0.00885037	0.15851310
152.75999547	-0.00628681	0.01214637	-0.00415052	0.15436260
152.76799547	-0.00213630	0.00622578	-0.00299081	0.15967280
152.77599547	-0.00030519	0.01092563	-0.00683615	0.15436260
152.78399547	-0.00775170	0.00561541	-0.00622578	0.15344710
152.79199547	-0.00268563	0.00854518	-0.00299081	0.15875730
152.79999547	0.00561541	0.01092563	-0.00476089	0.15759760
152.80799547	0.00146489	0.01184118	-0.00384533	0.15314190
152.81599546	0.00469985	0.00439467	-0.00030519	0.15668200
152.82399546	0.00146489	0.00976592	-0.00445570	0.15521710
152.83199546	-0.00299081	0.00769066	0.00024415	0.15851310
152.83999546	0.00146489	0.00646992	-0.00177007	0.15375230
152.84799546	0.00146489	0.01599170	-0.00561541	0.15790280
152.85599546	0.00231941	0.00622578	-0.00299081	0.15643790
152.86399546	0.00561541	0.01153600	-0.00561541	0.15552230
152.87199546	0.00439467	0.01330607	-0.00299081	0.15253150
152.87999546	0.00646992	0.01275674	-0.00415052	0.15582750
152.88799546	0.00177007	0.00830104	-0.00152593	0.15729240
152.89599546	0.00000000	0.01068148	-0.00946074	0.15375230
152.90399546	-0.00329600	0.01300089	-0.00152593	0.15460680
152.91199546	0.00085452	0.01245155	-0.00238044	0.15521710
152.91999546	0.00024415	0.00646992	-0.00299081	0.16083250
152.92799546	0.00384533	0.00646992	-0.00592059	0.16144290
152.93599546	0.00323496	0.00592059	-0.00061037	0.15613270
152.94399546	-0.00299081	0.00708029	-0.00799585	0.15491200
152.95199546	-0.00091556	0.00830104	-0.00915555	0.15491200
152.95999546	0.00085452	0.01123081	-0.00091556	0.15668200
152.96799546	0.00146489	0.00769066	-0.00152593	0.15375230
152.97599546	-0.00122074	0.00646992	-0.00561541	0.15167700
152.98399546	-0.00061037	0.01214637	-0.00091556	0.15997800
152.99199546	0.00146489	0.00799585	-0.00207526	0.16412850
152.99999546	0.00262459	0.01123081	-0.00415052	0.15314190
153.00799546	0.00207526	0.00415052	-0.00152593	0.16113770
153.01599546	-0.00091556	0.00592059	0.00146489	0.16113770
153.02399546	0.00469985	0.01452681	-0.00122074	0.16412850
153.03199546	-0.00775170	0.00854518	-0.00354015	0.15344710
153.03999546	-0.00061037	0.00469985	0.00231941	0.16382340
153.04799546	-0.00653096	0.00531022	-0.00683615	0.15643790
153.05599546	0.00384533	0.01391644	-0.00769066	0.15967280
153.06399546	-0.00030519	0.00799585	-0.00561541	0.15668200
153.07199546	0.00439467	0.00946074	-0.00592059	0.15552230
153.07999546	-0.00061037	0.00799585	0.00000000	0.15643790
153.08799546	0.00115970	0.01037629	0.00231941	0.15967280
153.09599546	0.00592059	0.00915555	-0.00329600	0.15198220
153.10399546	-0.00122074	0.00885037	-0.00384533	0.15613270
153.11199546	-0.00714133	0.00677511	-0.00091556	0.15698720
153.11999546	-0.00598163	0.01245155	-0.00683615	0.15967280
153.12799546	-0.00329600	0.00854518	-0.00708029	0.15021210
153.13599546	-0.00268563	0.01245155	-0.00738548	0.15967280
153.14399546	0.00469985	0.01007111	0.00085452	0.15790280
153.15199546	-0.00421155	0.00323496	-0.00769066	0.15344710
153.15999546	0.00207526	0.00915555	-0.00531022	0.15405740
153.16799545	0.00592059	0.00885037	0.00439467	0.15668200
153.17599545	0.00085452	0.00231941	-0.00415052	0.14606160
153.18399545	-0.00061037	0.01300089	-0.00683615	0.15228740
153.19199545	-0.00030519	0.00976592	-0.00207526	0.16028320
153.19999545	0.00177007	0.00708029	-0.00061037	0.15820800
153.20799545	-0.00122074	0.00622578	-0.00531022	0.15228740
153.21599545	0.01037629	0.01007111	-0.00622578	0.15344710
153.22399545	0.00415052	0.01037629	-0.00091556	0.15106660
153.23199545	0.00439467	0.00677511	-0.00415052	0.15228740
153.23999545	0.00231941	0.00946074	-0.00476089	0.15698720
153.24799545	0.00207526	0.01037629	0.00054933	0.15967280
153.25599545	-0.00061037	0.01275674	-0.00299081	0.15936770
153.26399545	-0.00030519	0.00592059	-0.00445570	0.16028320
153.27199545	0.00415052	0.00915555	-0.00238044	0.15521710
153.27999545	0.00677511	0.00054933	0.00170904	0.15491200
153.28799545	0.00323496	0.01483200	-0.00799585	0.15436260
153.29599545	-0.00091556	0.01092563	0.00024415	0.15729240
153.30399545	0.00415052	0.01690725	0.00323496	0.15997800
153.31199545	0.00054933	0.00830104	-0.00445570	0.15613270
153.31999545	0.00115970	0.00799585	-0.00561541	0.15643790
153.32799545	0.00024415	0.01037629	-0.00122074	0.15851310
153.33599545	0.00177007	0.00769066	0.00054933	0.15552230
153.34399545	0.00976592	0.01007111	-0.00152593	0.15521710
153.35199545	-0.00061037	0.01214637	-0.00177007	0.15790280
153.35999545	-0.00183111	0.00531022	-0.00915555	0.15405740
153.36799545	0.00646992	0.01123081	-0.00653096	0.16260260
153.37599545	0.00384533	0.00769066	-0.00329600	0.16260260
153.38399545	0.00830104	0.01007111	-0.00268563	0.15668200
153.39199545	-0.00152593	0.00799585	-0.00415052	0.15759760
153.39999545	-0.00421155	0.00531022	-0.00299081	0.15491200
153.40799545	-0.00152593	0.00854518	0.00347911	0.15729240
153.41599545	0.00024415	0.00799585	-0.00122074	0.15668200
153.42399545	-0.00360118	0.01483200	-0.00653096	0.15936770
153.43199545	-0.00061037	0.01037629	0.00024415	0.15851310
153.43999545	-0.00329600	0.00946074	-0.00708029	0.15997800
153.44799545	0.00207526	0.01214637	-0.00207526	0.16351820
153.45599545	0.00384533	0.01068148	-0.00653096	0.15436260
153.46399545	0.00085452	0.00769066	-0.00030519	0.15491200
153.47199545	-0.00299081	0.00439467	-0.00476089	0.15997800
153.47999545	0.00231941	0.00885037	-0.00561541	0.15460680
153.48799545	0.00085452	0.01568651	-0.00653096	0.15436260
153.49599545	-0.00030519	0.01153600	-0.00091556	0.15167700
153.50399545	-0.00360118	0.00592059	-0.00946074	0.14899140
153.51199545	0.00000000	0.01275674	-0.00860622	0.15759760
153.51999544	-0.00061037	0.01123081	0.00146489	0.16528830
153.52799544	-0.00152593	0.00830104	-0.00384533	0.16174810
153.53599544	0.00262459	0.01123081	-0.00299081	0.15491200
153.54399544	-0.00122074	0.01123081	-0.00653096	0.15698720
153.55199544	0.00677511	0.01361126	-0.00653096	0.15729240
153.55999544	-0.00268563	0.00769066	0.00469985	0.15521710
153.56799544	0.00177007	0.01422163	-0.00299081	0.14838100
153.57599544	0.00115970	0.00531022	-0.00506607	0.15552230
153.58399544	0.00024415	0.00854518	-0.00122074	0.15582750
153.59199544	-0.00091556	0.01245155	0.00000000	0.14990690
153.59999544	0.00262459	0.00738548	0.00347911	0.15759760
153.60799544	0.00622578	0.00531022	-0.00384533	0.15460680
153.61599544	-0.00152593	0.01007111	-0.00708029	0.15253150
153.62399544	-0.00360118	0.00738548	-0.00799585	0.15460680
153.63199544	0.00500504	0.00292978	-0.00506607	0.16144290
153.63999544	-0.00476089	0.01092563	-0.00030519	0.15076140
153.64799544	-0.00299081	0.01068148	-0.00207526	0.15076140
153.65599544	0.00231941	0.00976592	-0.00268563	0.16144290
153.66399544	-0.00329600	0.00708029	0.00262459	0.15582750
153.67199544	0.00000000	0.00708029	-0.00683615	0.16028320
153.67999544	0.00024415	0.00708029	-0.01269570	0.15460680
153.68799544	0.00054933	0.01214637	0.00201422	0.15820800
153.69599544	0.00115970	0.01037629	-0.00030519	0.15491200
153.70399544	-0.00238044	0.00946074	-0.00207526	0.15344710
153.71199544	0.00469985	0.00592059	-0.00799585	0.15552230
153.71999544	-0.00213630	0.00146489	-0.00506607	0.15344710
153.72799544	0.00415052	0.01245155	-0.00354015	0.15668200
153.73599544	-0.00122074	0.00561541	0.00000000	0.16083250
153.74399544	-0.00445570	0.00561541	-0.00683615	0.15820800
153.75199544	-0.00421155	0.01245155	-0.00830104	0.15936770
153.75999544	-0.00329600	0.00561541	-0.00415052	0.15106660
153.76799544	-0.00213630	0.01507614	0.00000000	0.15253150
153.77599544	-0.00268563	0.01300089	-0.00091556	0.15460680
153.78399544	0.00177007	0.01037629	0.00146489	0.15228740
153.79199544	-0.00213630	0.01007111	-0.00683615	0.15314190
153.79999544	0.00024415	0.00708029	-0.00299081	0.15460680
153.80799544	0.00354015	0.01245155	-0.00299081	0.14722130
153.81599544	-0.00329600	0.01361126	0.00085452	0.15021210
153.82399544	0.00292978	0.00946074	0.00408948	0.14722130
153.83199544	0.00384533	0.01538133	-0.00091556	0.15405740
153.83999544	0.00177007	0.00354015	0.00170904	0.15643790
153.84799544	0.00207526	0.00915555	-0.00177007	0.15668200
153.85599544	0.00323496	0.01007111	-0.00653096	0.15253150
153.86399544	-0.00268563	0.01452681	-0.00476089	0.15790280
153.87199544	-0.00183111	0.01184118	-0.00299081	0.15820800
153.87999543	-0.00152593	0.00830104	-0.00622578	0.15405740
153.88799543	0.00439467	0.00946074	-0.00268563	0.15021210
153.89599543	0.00207526	0.01037629	-0.00238044	0.15436260
153.90399543	0.00469985	0.01483200	0.00000000	0.15076140
153.91199543	-0.00360118	0.00799585	-0.00152593	0.15820800
153.91999543	0.00262459	0.00885037	0.00000000	0.15521710
153.92799543	-0.00299081	0.00976592	0.00085452	0.15906250
153.93599543	-0.00091556	0.00946074	-0.00177007	0.15375230
153.94399543	-0.00238044	0.01300089	-0.00268563	0.15405740
153.95199543	-0.00421155	0.00830104	-0.00830104	0.15820800
153.95999543	-0.00360118	0.01153600	-0.00354015	0.15460680
153.96799543	0.00054933	0.01007111	-0.00299081	0.15198220
153.97599543	-0.00537126	0.00976592	0.00677511	0.15314190
153.98399543	-0.00091556	0.00646992	-0.00506607	0.15729240
153.99199543	0.00292978	0.00738548	0.00677511	0.15253150
153.99999543	0.00024415	0.00500504	-0.00268563	0.16028320
154.00799543	0.00054933	0.01391644	-0.00329600	0.15698720
154.01599543	0.00115970	0.00854518	-0.00738548	0.15106660
154.02399543	-0.00238044	0.01330607	-0.00354015	0.15314190
154.03199543	0.00177007	0.00531022	-0.00622578	0.15997800
154.03999543	0.00738548	0.01068148	-0.00177007	0.14783170
154.04799543	-0.00183111	0.01184118	-0.00476089	0.15582750
154.05599543	-0.00122074	0.01275674	-0.00384533	0.15643790
154.06399543	-0.00567644	0.00915555	0.00024415	0.15314190
154.07199543	0.00054933	0.00915555	-0.00091556	0.15253150
154.07999543	-0.00329600	0.00830104	-0.00207526	0.15552230
154.08799543	0.00854518	0.01007111	-0.00976592	0.14929660
154.09599543	0.00262459	0.01123081	0.00231941	0.15875730
154.10399543	0.00146489	0.01214637	-0.00476089	0.15491200
154.11199543	0.00354015	0.01153600	-0.00299081	0.15167700
154.11999543	-0.00152593	0.01330607	-0.00091556	0.14990690
154.12799543	0.00323496	0.00976592	-0.00946074	0.14899140
154.13599543	-0.00030519	0.01153600	-0.00830104	0.15875730
154.14399543	0.00054933	0.01330607	-0.00769066	0.15106660
154.15199543	0.00146489	0.00830104	0.00024415	0.15552230
154.15999543	0.00177007	0.01068148	0.00146489	0.15076140
154.16799543	-0.00567644	0.00854518	-0.00653096	0.15668200
154.17599543	-0.00683615	0.01092563	0.00115970	0.15106660
154.18399543	0.00415052	0.00354015	0.00085452	0.15283670
154.19199543	0.00085452	0.01068148	-0.00561541	0.15405740
154.19999543	-0.00329600	0.00976592	-0.00329600	0.15436260
154.20799543	0.00054933	0.00976592	-0.00238044	0.15253150
154.21599543	-0.00061037	0.01275674	-0.00531022	0.15552230
154.22399543	0.00531022	0.01330607	-0.00561541	0.15582750
154.23199542	-0.00061037	0.01300089	-0.00061037	0.15283670
154.23999542	-0.00506607	0.01184118	-0.00177007	0.14722130
154.24799542	0.00054933	0.00292978	-0.00329600	0.15228740
154.25599542	0.00177007	0.01123081	-0.00799585	0.16235850
154.26399542	0.00085452	0.01275674	-0.00592059	0.15668200
154.27199542	0.00207526	0.01391644	0.00024415	0.15613270
154.27999542	0.00024415	0.01660207	-0.00238044	0.15521710
154.28799542	-0.00030519	0.01092563	-0.00799585	0.15759760
154.29599542	-0.00091556	0.01300089	0.00524918	0.16028320
154.30399542	0.00622578	0.00830104	0.00146489	0.14868620
154.31199542	0.00024415	0.01092563	-0.00091556	0.14990690
154.31999542	0.00323496	0.00738548	0.00408948	0.15314190
154.32799542	-0.00122074	0.00677511	-0.00207526	0.15405740
154.33599542	-0.00030519	0.01330607	-0.00152593	0.15936770
154.34399542	0.00592059	0.01538133	0.00616474	0.15582750
154.35199542	0.00207526	0.01214637	-0.00561541	0.15344710
154.35999542	-0.00122074	0.00531022	0.00292978	0.15198220
154.36799542	-0.00299081	0.01092563	-0.00268563	0.15283670
154.37599542	0.00323496	0.00677511	-0.00177007	0.15582750
154.38399542	-0.00329600	0.00799585	-0.00122074	0.15436260
154.39199542	0.00054933	0.01092563	-0.01123081	0.15405740
154.39999542	0.00231941	0.01422163	-0.00531022	0.15582750
154.40799542	-0.00329600	0.01123081	-0.00506607	0.15668200
154.41599542	0.00323496	0.01391644	0.00146489	0.15198220
154.42399542	-0.00213630	0.01330607	-0.00238044	0.15491200
154.43199542	-0.00091556	0.01153600	-0.00329600	0.15375230
